ID,  Milk,PetFood,Veggies,Cereal, Bread,  Rice,  Meat,  Eggs,Yogurt, Chips,  Cola, Fruit
 1,     4,     7,     7,     9,     8,     7,     4,     4,     4,     5,     4,     3
 2,    10,     6,     7,     6,     6,     9,     4,     4,     4,     7,     6,     6
 3,     3,     6,     5,     6,     9,     5,     8,     6,     2,     6,     8,     1
 4,     6,     7,     5,     9,     7,     9,     3,     5,     4,     6,     5,     6
 5,     3,     3,     9,     3,     0,    10,    10,     8,     8,     2,     0,     7
 6,     7,     4,     6,     7,     9,     8,     5,     5,     6,     6,     6,     3
 7,     8,     4,     3,     8,     7,     8,     4,     6,     7,     7,     3,     3
 8,     7,     4,     9,     8,     6,     8,     3,     6,     4,     2,     5,     7
 9,    10,     5,    10,    10,     7,     8,     6,     4,     2,     4,     4,     5
10,     2,     2,     9,     1,     3,     9,     5,     4,     8,     2,     0,     8
11,     7,     5,     4,    10,     5,     1,     5,     5,     2,     6,     9,     4
12,     2,     3,    10,     1,     1,     9,     9,     4,     8,     3,     2,     8
13,     9,     3,    10,     9,     6,     7,     6,     4,     3,     3,     3,     5
14,     9,     3,     9,     6,     5,     9,     3,     5,     7,     4,     2,     5
15,     6,     3,     4,     9,     4,     1,    10,     5,     2,     5,    10,     3
16,     6,     8,     5,     8,     5,     1,     7,     3,     0,     6,     9,     2
17,     2,     3,     3,    10,     6,     1,     5,     6,     1,     7,     9,     1
18,     9,     6,     6,    10,     8,     8,     3,     4,     7,     3,     3,     6
19,     7,     6,     8,     8,     8,     4,     8,     7,     1,     6,     8,     4
20,     6,     6,     9,     7,     9,     9,     6,     3,     6,     1,     3,     4
21,     4,     2,     5,     7,     4,     0,     6,     6,     2,     5,    10,     4
22,     7,     6,     6,     8,     7,     8,     3,     8,     5,     1,     5,     7
23,     5,     6,     5,     8,     5,     2,     7,     6,     4,     5,     9,     3
24,    10,     7,     8,     8,     6,    10,     2,     7,     8,     3,     2,     6
25,     3,     5,     6,     4,     5,     5,     6,     5,     1,    10,    10,     3
26,     7,     7,     8,     9,     5,    10,     5,     5,     7,     2,     2,     4
27,     5,     4,     5,     7,     6,     2,     9,     6,     2,     7,    10,     3
28,     8,     5,     8,     8,     6,     7,     3,     6,     7,     4,     1,     7
29,     8,     5,     9,    10,     6,     9,     3,     7,     7,     3,     2,     3
30,     4,     6,     5,    10,     6,     4,     8,     5,     1,     7,     8,     4
31,     8,     2,     6,     7,     6,     8,     3,     5,     5,     2,     3,     4
32,     7,     6,     9,     8,     2,     8,     3,     5,     5,     3,     2,     5
33,     5,     1,    10,     0,     3,    10,     7,     7,     9,     2,     3,    10
34,    10,     5,     7,     8,     7,    10,     2,     7,     4,     2,     4,     8
35,     2,     2,     8,     0,     2,     9,     8,     4,     7,     3,     1,     8
36,     4,     2,    10,     0,     3,     8,     8,     5,     8,     2,     0,     7
37,     6,     5,     5,     6,     6,     5,     8,     6,     2,     6,     8,     3
38,     8,     5,     9,     7,     8,     5,     5,     4,     6,     0,     2,     5
39,     4,     4,     9,     0,     2,     9,     8,     5,    10,     4,     0,     9
40,     2,     0,     8,     2,     2,     9,     7,     2,     9,     1,     2,     8
41,     7,     5,     6,     6,     4,     3,     7,     4,     2,     8,     9,     2
42,     6,     4,     5,     8,     7,     4,     7,     4,     3,     8,    10,     5
43,     6,     5,     6,     6,     6,     2,     4,     7,     1,     4,     9,     1
44,     4,     5,     5,     6,     6,     2,     9,     4,     1,     9,    10,     2
45,     5,     4,     7,     8,     7,    10,     6,     7,     6,     2,     2,     6
46,     9,     6,     9,     7,     7,     9,     6,     6,     5,     4,     4,     6
47,     7,     7,     8,     7,     7,     9,     2,     5,     5,     5,     3,     5
48,     6,     4,     7,     8,     7,     7,     6,     5,     4,     3,     7,     5
49,     5,     8,     4,     7,     5,     3,    10,     5,     0,     7,    10,     1
50,     6,     3,     2,     7,     7,     5,     8,     5,     2,     5,    10,     7
51,     1,     4,    10,     2,     0,     8,     6,     5,     7,     3,     2,     7
52,     7,     4,     4,     7,     6,     3,     8,     1,     4,     6,     9,     2
53,     2,     4,     9,     0,     2,     8,     7,     4,     9,     2,     2,     7
54,     7,     5,     4,     7,     6,     4,     6,     4,     3,     5,     7,     4
55,     4,     6,     4,     6,     6,     2,     7,     5,     3,     6,     9,     4
56,     4,     5,     5,     7,     8,     2,     3,     6,     3,     8,    10,     4
57,     8,     6,     8,     9,     7,    10,     7,     4,     5,     3,     5,     5
58,     5,     6,     7,     6,     3,     1,     6,     5,     5,     7,     9,     4
59,     7,     7,     7,     5,     3,     7,     4,     6,     5,     1,     3,     5
60,     9,     3,     8,     8,     7,     9,     4,     3,     3,     1,     2,     5
61,     1,     3,     9,     0,     2,    10,     5,     5,     7,     3,     1,    10
62,     9,     5,     7,     7,     6,     8,     8,     6,     4,     4,     2,     5
63,     5,     3,     7,     7,     4,     4,     5,     7,     3,     8,     9,     3
64,     8,     4,    10,     9,     8,     9,     6,     3,     6,     3,     2,     8
65,     3,     7,     7,     9,     6,     1,     9,     5,     2,    10,    10,     4
66,     5,     5,     5,     5,     4,     3,     7,     7,     2,     7,     8,     2
67,     7,     5,     4,     7,     4,     3,     8,     4,     2,     6,    10,     2
68,     7,     7,     7,     7,     5,     6,     4,     7,     8,     2,     4,     3
