SPEED,CAR_NOT_TRUCK,DISTRACTED,COMMERCIAL,WANT_TO_SPEED
67.6,0,0,1,0
63.5,0,0,1,0
65.2,0,0,1,1
59.3,0,0,1,0
66.7,0,0,1,1
66.3,1,0,1,1
55.6,0,0,1,0
68.7,0,0,1,1
72.9,1,0,1,1
67.1,0,0,1,1
63.5,0,0,1,1
70.0,0,0,1,1
52.5,0,0,1,0
52.4,0,0,1,0
65.5,1,0,1,0
62.2,0,0,1,0
63.5,0,0,1,0
55.8,0,0,1,0
68.6,0,0,1,1
59.6,0,0,1,1
56.2,0,0,1,0
63.0,0,0,1,0
57.2,0,0,1,0
68.0,1,0,0,1
73.6,0,0,1,1
51.2,0,0,1,0
57.8,0,0,1,0
64.3,0,0,1,1
52.2,1,1,0,1
55.6,0,0,1,0
51.5,0,0,1,0
55.9,0,0,1,0
58.4,0,1,1,1
55.9,0,1,1,0
63.7,1,1,0,1
58.3,0,0,1,0
57.7,1,1,0,1
58.1,0,0,1,1
53.8,0,0,1,0
51.5,0,1,1,0
51.4,1,1,1,0
57.7,0,1,1,0
61.1,1,0,0,1
60.9,0,0,1,0
66.7,0,0,1,0
49.5,0,1,1,0
63.4,1,0,0,1
63.1,0,0,1,1
52.8,0,0,1,0
62.1,0,1,1,1
59.9,1,0,0,0
69.3,0,0,1,1
50.4,0,0,1,0
62.6,0,0,1,1
58.3,0,0,1,1
49.9,0,0,1,0
74.7,1,0,0,1
52.1,0,0,1,0
55.7,0,1,1,0
63.8,1,0,0,1
60.6,0,0,1,1
70.4,1,0,0,1
60.8,1,0,0,1
59.7,1,1,0,1
59.0,0,0,1,0
65.9,0,0,1,1
58.7,0,0,1,1
64.8,0,1,1,1
52.2,0,0,1,0
74.3,0,0,1,1
68.0,0,0,1,1
66.1,0,0,1,0
54.2,0,1,1,1
55.3,0,0,1,0
70.5,1,0,0,1
55.4,0,1,1,1
66.2,1,0,0,1
55.9,0,1,1,0
57.0,0,0,1,0
64.6,0,0,1,1
61.8,0,0,1,0
56.7,0,1,1,1
69.4,0,0,1,1
56.4,1,0,0,0
59.4,0,1,1,1
56.1,0,0,1,0
53.5,1,0,0,0
60.2,0,0,1,1
52.9,0,1,1,1
60.2,0,1,1,1
50.8,0,1,1,0
59.6,0,0,1,0
60.1,0,0,1,0
63.6,0,0,1,0
69.1,0,0,1,1
54.7,0,0,1,0
61.5,1,0,0,1
73.4,0,0,1,1
58.3,0,1,1,1
58.3,1,0,1,0
59.6,1,0,1,0
60.0,0,0,1,1
52.2,0,0,1,0
64.5,1,0,0,1
56.3,1,0,1,0
61.9,1,0,1,1
64.6,0,0,1,1
55.6,0,1,1,1
65.3,1,0,0,1
56.4,1,0,0,1
64.6,0,0,1,1
59.1,1,0,0,1
66.2,1,1,0,0
65.9,0,0,1,1
67.2,0,0,1,1
68.1,0,0,1,1
64.4,0,0,1,1
55.3,0,0,1,1
65.6,0,0,1,1
51.3,0,1,1,0
68.2,0,0,1,1
63.0,0,0,1,0
56.7,1,0,0,0
78.2,0,0,1,1
58.8,1,0,0,0
78.1,1,0,0,1
61.3,1,1,0,1
60.4,1,0,0,1
59.8,1,0,0,0
54.3,0,0,1,1
51.1,0,1,1,0
58.1,1,1,0,1
69.2,0,0,1,1
59.6,0,0,1,0
68.8,1,0,0,1
52.6,1,1,0,0
60.0,1,0,0,0
60.1,0,0,1,1
57.2,0,0,1,0
58.9,0,0,1,0
52.8,0,0,1,0
52.3,0,0,1,0
55.2,0,0,1,0
73.9,0,0,1,1
75.7,0,0,1,1
62.7,0,0,1,1
50.3,1,0,0,0
58.7,0,0,1,0
57.9,0,0,1,0
70.4,1,0,0,1
53.5,1,0,0,0
58.4,0,0,1,0
72.5,0,0,1,1
63.2,0,0,1,1
59.3,0,0,1,0
63.0,0,0,1,1
65.0,1,1,0,1
64.1,0,1,1,1
66.8,0,0,1,1
68.4,0,0,1,1
69.6,0,0,1,1
72.2,0,0,1,1
66.0,1,0,0,1
58.3,0,0,1,0
62.3,0,0,1,0
57.1,0,1,1,1
52.3,0,0,1,0
63.1,1,0,0,0
64.3,0,0,1,0
46.2,0,0,1,0
62.9,0,0,1,1
67.3,0,0,1,0
68.3,1,0,0,1
53.1,0,0,1,0
65.2,1,0,0,0
67.8,0,0,1,1
57.6,1,0,0,1
63.3,0,1,1,1
60.6,0,0,1,0
56.3,1,1,0,1
63.0,0,0,1,1
66.7,1,0,0,0
53.2,1,0,0,0
64.0,1,0,0,1
69.5,1,0,0,0
59.7,0,0,1,1
66.8,0,0,1,1
53.6,0,0,1,0
58.2,1,0,0,1
73.2,0,0,1,1
61.8,1,0,0,0
60.3,0,0,1,0
48.6,1,1,0,0
57.7,1,1,0,1
55.0,0,0,1,1
52.6,0,0,1,0
71.9,0,1,1,1
68.3,0,0,1,1
66.2,0,0,1,1
51.5,0,0,1,0
72.9,1,0,0,1
55.3,0,0,1,0
61.7,0,0,1,0
52.4,1,1,0,0
57.1,0,1,1,1
51.7,0,0,1,0
72.3,0,0,1,1
58.6,0,0,1,0
50.4,0,1,1,0
52.8,1,1,0,0
57.2,0,1,1,0
63.5,0,0,1,1
